"","Season","StandardizedFlow","StandardizedTemperature","Lambda"
"53","Spring",-1.5,-1.25,0.553431696975489
"54","Summer",-1.5,-1.25,0.353186542829912
"55","Fall",-1.5,-1.25,0.442058174452309
"56","Winter",-1.5,-1.25,0.646216395600641
"57","Spring",-1.25,-1.25,0.576644945543441
"58","Summer",-1.25,-1.25,0.438877928124466
"59","Fall",-1.25,-1.25,0.485991423566541
"60","Winter",-1.25,-1.25,0.632852974186438
"61","Spring",-1,-1.25,0.600195144716268
"62","Summer",-1,-1.25,0.546658632557462
"63","Fall",-1,-1.25,0.534050781347008
"64","Winter",-1,-1.25,0.614252594887104
"65","Spring",-0.75,-1.25,0.623939552074857
"66","Summer",-0.75,-1.25,0.677675498577635
"67","Fall",-0.75,-1.25,0.586435190095379
"68","Winter",-0.75,-1.25,0.590108906334294
"69","Spring",-0.5,-1.25,0.647693029224611
"70","Summer",-0.5,-1.25,0.833282483950093
"71","Fall",-0.5,-1.25,0.643235599386456
"72","Winter",-0.5,-1.25,0.559670573899357
"73","Spring",-0.25,-1.25,0.67126647052063
"74","Summer",-0.25,-1.25,1.01736579184635
"75","Fall",-0.25,-1.25,0.704514938797556
"76","Winter",-0.25,-1.25,0.522096365448052
"77","Spring",0,-1.25,0.694522520676635
"78","Summer",0,-1.25,1.23472707382178
"79","Fall",0,-1.25,0.77031389923302
"80","Winter",0,-1.25,0.477619365951666
"81","Spring",0.25,-1.25,0.717404496902885
"82","Summer",0.25,-1.25,1.48774546728662
"83","Fall",0.25,-1.25,0.840605841233123
"84","Winter",0.25,-1.25,0.428855000385041
"85","Spring",0.5,-1.25,0.739899549240165
"86","Summer",0.5,-1.25,1.7766023557618
"87","Fall",0.5,-1.25,0.915296522442735
"88","Winter",0.5,-1.25,0.380582875583947
"89","Spring",0.75,-1.25,0.761998939531361
"90","Summer",0.75,-1.25,2.09846398905414
"91","Fall",0.75,-1.25,0.994228929618764
"92","Winter",0.75,-1.25,0.337696169401205
"93","Spring",1,-1.25,0.78369167491312
"94","Summer",1,-1.25,2.44535358821577
"95","Fall",1,-1.25,1.07710912589844
"96","Winter",1,-1.25,0.302895982370149
"97","Spring",1.25,-1.25,0.804927972954552
"98","Summer",1.25,-1.25,2.80328876881393
"99","Fall",1.25,-1.25,1.1633992685561
"100","Winter",1.25,-1.25,0.275544917354464
"101","Spring",1.5,-1.25,0.825550644364661
"102","Summer",1.5,-1.25,3.1537538310838
"103","Fall",1.5,-1.25,1.25221347761879
"104","Winter",1.5,-1.25,0.252674768993344
"105","Spring",-1.5,-1,0.54659097801504
"106","Summer",-1.5,-1,0.347508999904523
"107","Fall",-1.5,-1,0.439251483516783
"108","Winter",-1.5,-1,0.763439503495526
"109","Spring",-1.25,-1,0.568086678131372
"110","Summer",-1.25,-1,0.423680574264263
"111","Fall",-1.25,-1,0.478654194241108
"112","Winter",-1.25,-1,0.724265252711519
"113","Spring",-1,-1,0.589705276162294
"114","Summer",-1,-1,0.517421994797582
"115","Fall",-1,-1,0.521134857573138
"116","Winter",-1,-1,0.683518841873545
"117","Spring",-0.75,-1,0.611307484567872
"118","Summer",-0.75,-1,0.630115414510604
"119","Fall",-0.75,-1,0.567235778067978
"120","Winter",-0.75,-1,0.641312569316527
"121","Spring",-0.5,-1,0.6327432809028
"122","Summer",-0.5,-1,0.763520619695068
"123","Fall",-0.5,-1,0.617444054633956
"124","Winter",-0.5,-1,0.597665212271824
"125","Spring",-0.25,-1,0.653883680782529
"126","Summer",-0.25,-1,0.920182116394105
"127","Fall",-0.25,-1,0.671981951278858
"128","Winter",-0.25,-1,0.552591856540482
"129","Spring",0,-1,0.674657861897211
"130","Summer",0,-1,1.10246327373103
"131","Fall",0,-1,0.730687641165417
"132","Winter",0,-1,0.506329432111121
"133","Spring",0.25,-1,0.695071029275499
"134","Summer",0.25,-1,1.3116071938172
"135","Fall",0.25,-1,0.793179276336077
"136","Winter",0.25,-1,0.459633205007708
"137","Spring",0.5,-1,0.715178427616053
"138","Summer",0.5,-1,1.54853854623915
"139","Fall",0.5,-1,0.859141412872963
"140","Winter",0.5,-1,0.413924727939696
"141","Spring",0.75,-1,0.735051960471859
"142","Summer",0.75,-1,1.81329772285164
"143","Fall",0.75,-1,0.928454864744388
"144","Winter",0.75,-1,0.371148945999329
"145","Spring",1,-1,0.754720476560402
"146","Summer",1,-1,2.10367138032398
"147","Fall",1,-1,1.00110347051667
"148","Winter",1,-1,0.333318947732791
"149","Spring",1.25,-1,0.774153289325355
"150","Summer",1.25,-1,2.41413115132757
"151","Fall",1.25,-1,1.07700734121318
"152","Winter",1.25,-1,0.30177610632722
"153","Spring",1.5,-1,0.793278272636166
"154","Summer",1.5,-1,2.73546517948075
"155","Fall",1.5,-1,1.15589367199962
"156","Winter",1.5,-1,0.276500267107843
"157","Spring",-1.5,-0.75,0.539599222294435
"158","Summer",-1.5,-0.75,0.340421485108707
"159","Fall",-1.5,-0.75,0.434841680978718
"160","Winter",-1.5,-0.75,0.830913200898117
"161","Spring",-1.25,-0.75,0.559499892313229
"162","Summer",-1.25,-0.75,0.40626250880752
"163","Fall",-1.25,-0.75,0.470809985753805
"164","Winter",-1.25,-0.75,0.775839503975666
"165","Spring",-1,-0.75,0.579318091610603
"166","Summer",-1,-0.75,0.485531904172089
"167","Fall",-1,-0.75,0.508622861416639
"168","Winter",-1,-0.75,0.723067922363176
"169","Spring",-0.75,-0.75,0.598876944594694
"170","Summer",-0.75,-0.75,0.580076600053678
"171","Fall",-0.75,-0.75,0.549002975289166
"172","Winter",-0.75,-0.75,0.672610380206812
"173","Spring",-0.5,-0.75,0.618000977675668
"174","Summer",-0.5,-0.75,0.691713629687027
"175","Fall",-0.5,-0.75,0.593008043395085
"176","Winter",-0.5,-0.75,0.624385298426949
"177","Spring",-0.25,-0.75,0.63658292208873
"178","Summer",-0.25,-0.75,0.821833236312091
"179","Fall",-0.25,-0.75,0.641300015720186
"180","Winter",-0.25,-0.75,0.578207815586324
"181","Spring",0,-0.75,0.654641875798722
"182","Summer",0,-0.75,0.97118282396421
"183","Fall",0,-0.75,0.693605274400942
"184","Winter",0,-0.75,0.533824389039183
"185","Spring",0.25,-0.75,0.672324700473459
"186","Summer",0.25,-0.75,1.14009627642698
"187","Fall",0.25,-0.75,0.749082412656655
"188","Winter",0.25,-0.75,0.491043950573454
"189","Spring",0.5,-0.75,0.689803967517896
"190","Summer",0.5,-0.75,1.32928409238934
"191","Fall",0.5,-0.75,0.80708728403077
"192","Winter",0.5,-0.75,0.449904297960069
"193","Spring",0.75,-0.75,0.7071624302025
"194","Summer",0.75,-0.75,1.53951489458624
"195","Fall",0.75,-0.75,0.867517338504233
"196","Winter",0.75,-0.75,0.410743271603265
"197","Spring",1,-0.75,0.724398332233503
"198","Summer",1,-0.75,1.7709079114768
"199","Fall",1,-0.75,0.930613436893067
"200","Winter",1,-0.75,0.374172739930048
"201","Spring",1.25,-0.75,0.74147240603904
"202","Summer",1.25,-0.75,2.02228437987946
"203","Fall",1.25,-0.75,0.996623466182892
"204","Winter",1.25,-0.75,0.340978476991732
"205","Spring",1.5,-0.75,0.75832246845294
"206","Summer",1.5,-0.75,2.2906577447387
"207","Fall",1.5,-0.75,1.06561358459839
"208","Winter",1.5,-0.75,0.311887320169156
"209","Spring",-1.5,-0.5,0.532270923251544
"210","Summer",-1.5,-0.5,0.333322558159858
"211","Fall",-1.5,-0.5,0.427972765631362
"212","Winter",-1.5,-0.5,0.808867241588501
"213","Spring",-1.25,-0.5,0.550765787040237
"214","Summer",-1.25,-0.5,0.388556163306882
"215","Fall",-1.25,-0.5,0.461178261618981
"216","Winter",-1.25,-0.5,0.763070201757229
"217","Spring",-1,-0.5,0.568959955159613
"218","Summer",-1,-0.5,0.453465163506402
"219","Fall",-1,-0.5,0.495222277903187
"220","Winter",-1,-0.5,0.719030387799509
"221","Spring",-0.75,-0.5,0.586595394434269
"222","Summer",-0.75,-0.5,0.530020766068128
"223","Fall",-0.75,-0.5,0.530748889066649
"224","Winter",-0.75,-0.5,0.676670345179957
"225","Spring",-0.5,-0.5,0.603422957877198
"226","Summer",-0.5,-0.5,0.61977916818594
"227","Fall",-0.5,-0.5,0.569351848189566
"228","Winter",-0.5,-0.5,0.635888575483484
"229","Spring",-0.25,-0.5,0.61935310002365
"230","Summer",-0.25,-0.5,0.723579410947866
"231","Fall",-0.25,-0.5,0.612232755437899
"232","Winter",-0.25,-0.5,0.596567582831414
"233","Spring",0,-0.5,0.63457218717081
"234","Summer",0,-0.5,0.841463233515679
"235","Fall",0,-0.5,0.658953935084057
"236","Winter",0,-0.5,0.558589335604022
"237","Spring",0.25,-0.5,0.649429701459495
"238","Summer",0.25,-0.5,0.973263009122155
"239","Fall",0.25,-0.5,0.708090343589975
"240","Winter",0.25,-0.5,0.521847341622692
"241","Spring",0.5,-0.5,0.664140895229713
"242","Summer",0.5,-0.5,1.11915438017978
"243","Fall",0.5,-0.5,0.758719542356328
"244","Winter",0.5,-0.5,0.486293261658507
"245","Spring",0.75,-0.5,0.678767231545
"246","Summer",0.75,-0.5,1.27959472997451
"247","Fall",0.75,-0.5,0.810914870094363
"248","Winter",0.75,-0.5,0.45197182129705
"249","Spring",1,-0.5,0.693298239285712
"250","Summer",1,-0.5,1.45506488259751
"251","Fall",1,-0.5,0.865213133986406
"252","Winter",1,-0.5,0.419010438902921
"253","Spring",1.25,-0.5,0.707674655402663
"254","Summer",1.25,-0.5,1.64578103581999
"255","Fall",1.25,-0.5,0.922052264425358
"256","Winter",1.25,-0.5,0.387619351495094
"257","Spring",1.5,-0.5,0.721798872435811
"258","Summer",1.5,-0.5,1.85141212649349
"259","Fall",1.5,-0.5,0.981613504817067
"260","Winter",1.5,-0.5,0.358087968668182
"261","Spring",-1.5,-0.25,0.524414015607319
"262","Summer",-1.5,-0.25,0.327571153408513
"263","Fall",-1.5,-0.25,0.418621679774147
"264","Winter",-1.5,-0.25,0.720300106359965
"265","Spring",-1.25,-0.25,0.541768364887657
"266","Summer",-1.25,-0.25,0.372928915834649
"267","Fall",-1.25,-0.25,0.44935691303368
"268","Winter",-1.25,-0.25,0.699571991429235
"269","Spring",-1,-0.25,0.558559980516628
"270","Summer",-1,-0.25,0.424127224374017
"271","Fall",-1,-0.25,0.480213122348696
"272","Winter",-1,-0.25,0.677920232939879
"273","Spring",-0.75,-0.25,0.57440964217984
"274","Summer",-0.75,-0.25,0.482723037488193
"275","Fall",-0.75,-0.25,0.511683678363401
"276","Winter",-0.75,-0.25,0.655197153454703
"277","Spring",-0.5,-0.25,0.5889675412486
"278","Summer",-0.5,-0.25,0.550236180846589
"279","Fall",-0.5,-0.25,0.545866872887914
"280","Winter",-0.5,-0.25,0.631258935734444
"281","Spring",-0.25,-0.25,0.602210329043297
"282","Summer",-0.25,-0.25,0.627611751751434
"283","Fall",-0.25,-0.25,0.584380599903149
"284","Winter",-0.25,-0.25,0.605985038210369
"285","Spring",0,-0.25,0.614607652561433
"286","Summer",0,-0.25,0.71501293668503
"287","Fall",0,-0.25,0.62630451690858
"288","Winter",0,-0.25,0.579316667041869
"289","Spring",0.25,-0.25,0.626684850454307
"290","Summer",0.25,-0.25,0.812196029474949
"291","Fall",0.25,-0.25,0.669560676519707
"292","Winter",0.25,-0.25,0.551290912765487
"293","Spring",0.5,-0.25,0.63868036635748
"294","Summer",0.5,-0.25,0.918871553664218
"295","Fall",0.5,-0.25,0.713276942796462
"296","Winter",0.5,-0.25,0.522032823177893
"297","Spring",0.75,-0.25,0.650655696124943
"298","Summer",0.75,-0.25,1.03488918928179
"299","Fall",0.75,-0.25,0.757950767033578
"300","Winter",0.75,-0.25,0.49177054521236
"301","Spring",1,-0.25,0.662564081517206
"302","Summer",1,-0.25,1.16028277639475
"303","Fall",1,-0.25,0.804337074532947
"304","Winter",1,-0.25,0.460845215756165
"305","Spring",1.25,-0.25,0.674278138937003
"306","Summer",1.25,-0.25,1.29520694125978
"307","Fall",1.25,-0.25,0.852865219930829
"308","Winter",1.25,-0.25,0.429697227352044
"309","Spring",1.5,-0.25,0.685622866537634
"310","Summer",1.5,-0.25,1.43981437628689
"311","Fall",1.5,-0.25,0.903688025304402
"312","Winter",1.5,-0.25,0.398829111097253
"313","Spring",-1.5,0,0.516019830481237
"314","Summer",-1.5,0,0.323274791769713
"315","Fall",-1.5,0,0.406500470131302
"316","Winter",-1.5,0,0.607560595175609
"317","Spring",-1.25,0,0.532467331108924
"318","Summer",-1.25,0,0.360430541288163
"319","Fall",-1.25,0,0.435014188896636
"320","Winter",-1.25,0,0.611541787939773
"321","Spring",-1,0,0.54806522712422
"322","Summer",-1,0,0.399039156802969
"323","Fall",-1,0,0.463093523069375
"324","Winter",-1,0,0.613940005081052
"325","Spring",-0.75,0,0.562266987846661
"326","Summer",-0.75,0,0.440175456180978
"327","Fall",-0.75,0,0.49122554711535
"328","Winter",-0.75,0,0.614213503132756
"329","Spring",-0.5,0,0.57459866999691
"330","Summer",-0.5,0,0.48556989293879
"331","Fall",-0.5,0,0.522080181721523
"332","Winter",-0.5,0,0.611684145169484
"333","Spring",-0.25,0,0.585201360485039
"334","Summer",-0.25,0,0.536842047751365
"335","Fall",-0.25,0,0.557277198281559
"336","Winter",-0.25,0,0.605543344702015
"337","Spring",0,0,0.594905352937282
"338","Summer",0,0,0.594905352937282
"339","Fall",0,0,0.594905352937282
"340","Winter",0,0,0.594905352937282
"341","Spring",0.25,0,0.604389481663647
"342","Summer",0.25,0,0.659818300697001
"343","Fall",0.25,0,0.632522214601952
"344","Winter",0.25,0,0.578953513956727
"345","Spring",0.5,0,0.613920757675719
"346","Summer",0.5,0,0.731060195429099
"347","Fall",0.5,0,0.669871095315852
"348","Winter",0.5,0,0.557170988903537
"349","Spring",0.75,0,0.623545736496974
"350","Summer",0.75,0,0.807954152970736
"351","Fall",0.75,0,0.707896484506446
"352","Winter",0.75,0,0.529517704434203
"353","Spring",1,0,0.633153116272216
"354","Summer",1,0,0.889962821141692
"355","Fall",1,0,0.747305093036331
"356","Winter",1,0,0.496560301096925
"357","Spring",1.25,0,0.642513730088599
"358","Summer",1.25,0,0.976778703811161
"359","Fall",1.25,0,0.788380718618247
"360","Winter",1.25,0,0.45956117394315
"361","Spring",1.5,0,0.651341444807348
"362","Summer",1.5,0,1.06827590717035
"363","Fall",1.5,0,0.831228227826061
"364","Winter",1.5,0,0.420290185550998
"365","Spring",-1.5,0.25,0.507163860899383
"366","Summer",-1.5,0.25,0.318324267634519
"367","Fall",-1.5,0.25,0.390954342153719
"368","Winter",-1.5,0.25,0.499094333004056
"369","Spring",-1.25,0.25,0.522876516427466
"370","Summer",-1.25,0.25,0.348905372453989
"371","Fall",-1.25,0.25,0.417606783761126
"372","Winter",-1.25,0.25,0.52070195957
"373","Spring",-1,0.25,0.537443359331431
"374","Summer",-1,0.25,0.376808514319435
"375","Fall",-1,0.25,0.443339134564491
"376","Winter",-1,0.25,0.542126333752339
"377","Spring",-0.75,0.25,0.550116163238883
"378","Summer",-0.75,0.25,0.402296238650861
"379","Fall",-0.75,0.25,0.468934812962914
"380","Winter",-0.75,0.25,0.562655170543002
"381","Spring",-0.5,0.25,0.560292167794624
"382","Summer",-0.5,0.25,0.427207869714571
"383","Fall",-0.5,0.25,0.49764851922316
"384","Winter",-0.5,0.25,0.58117446975905
"385","Spring",-0.25,0.25,0.568374707564469
"386","Summer",-0.25,0.25,0.454121160653174
"387","Fall",-0.25,0.25,0.530267876814706
"388","Winter",-0.25,0.25,0.596007947064822
"389","Spring",0,0.25,0.575581882952821
"390","Summer",0,0.25,0.48510630044232
"391","Fall",0,0.25,0.563659918332202
"392","Winter",0,0.25,0.60479091509953
"393","Spring",0.25,0.25,0.582741270558429
"394","Summer",0.25,0.25,0.520921748775246
"395","Fall",0.25,0.25,0.595905544393665
"396","Winter",0.25,0.25,0.604554446184465
"397","Spring",0.5,0.25,0.590163831002898
"398","Summer",0.5,0.25,0.561110598960277
"399","Fall",0.5,0.25,0.627677462042464
"400","Winter",0.5,0.25,0.592320929447402
"401","Spring",0.75,0.25,0.597871842992656
"402","Summer",0.75,0.25,0.604652363049567
"403","Fall",0.75,0.25,0.659976728762407
"404","Winter",0.75,0.25,0.566239565128969
"405","Spring",1,0.25,0.605629979109848
"406","Summer",1,0.25,0.650557943168604
"407","Fall",1,0.25,0.693246451653908
"408","Winter",1,0.25,0.526683998174011
"409","Spring",1.25,0.25,0.613037888809808
"410","Summer",1.25,0.25,0.698127055011021
"411","Fall",1.25,0.25,0.727648672972874
"412","Winter",1.25,0.25,0.476811550316941
"413","Spring",1.5,0.25,0.61964989444154
"414","Summer",1.5,0.25,0.746939811124241
"415","Fall",1.5,0.25,0.763277085354877
"416","Winter",1.5,0.25,0.421724786374783
"417","Spring",-1.5,0.5,0.497879591149605
"418","Summer",-1.5,0.5,0.309816674207391
"419","Fall",-1.5,0.5,0.371519625279568
"420","Winter",-1.5,0.5,0.407211934977701
"421","Spring",-1.25,0.5,0.512994602450477
"422","Summer",-1.25,0.5,0.334194999013409
"423","Fall",-1.25,0.5,0.396646306401266
"424","Winter",-1.25,0.5,0.439233602774236
"425","Spring",-1,0.5,0.526660882616178
"426","Summer",-1,0.5,0.353461148946455
"427","Fall",-1,0.5,0.420526374965165
"428","Winter",-1,0.5,0.473249544637992
"429","Spring",-0.75,0.5,0.537906193886026
"430","Summer",-0.75,0.5,0.366511148309122
"431","Fall",-0.75,0.5,0.44460316740603
"432","Winter",-0.75,0.5,0.508810401980266
"433","Spring",-0.5,0.5,0.546032581161264
"434","Summer",-0.5,0.5,0.374677539464141
"435","Fall",-0.5,0.5,0.472257550198408
"436","Winter",-0.5,0.5,0.54491704874151
"437","Spring",-0.25,0.5,0.55175288002196
"438","Summer",-0.25,0.5,0.381107542051459
"439","Fall",-0.25,0.5,0.502376172575391
"440","Winter",-0.25,0.5,0.579580041340287
"441","Spring",0,0.5,0.55668594062825
"442","Summer",0,0.5,0.389132219189232
"443","Fall",0,0.5,0.53140050675316
"444","Winter",0,0.5,0.60917746533682
"445","Spring",0.25,0.5,0.561818002507942
"446","Summer",0.25,0.5,0.400660266845538
"447","Fall",0.25,0.5,0.558884178491807
"448","Winter",0.25,0.5,0.627871155681399
"449","Spring",0.5,0.5,0.567525523174838
"450","Summer",0.5,0.5,0.415721354566421
"451","Fall",0.5,0.5,0.585976871265383
"452","Winter",0.5,0.5,0.628055136745586
"453","Spring",0.75,0.5,0.573746437319752
"454","Summer",0.75,0.5,0.433192472989428
"455","Fall",0.75,0.5,0.61332122221285
"456","Winter",0.75,0.5,0.603280873813351
"457","Spring",1,0.5,0.580027389385358
"458","Summer",1,0.5,0.451775621543491
"459","Fall",1,0.5,0.641138287158037
"460","Winter",1,0.5,0.552833564309148
"461","Spring",1.25,0.5,0.585736678840794
"462","Summer",1.25,0.5,0.470520667380528
"463","Fall",1.25,0.5,0.66955173244322
"464","Winter",1.25,0.5,0.484128675054225
"465","Spring",1.5,0.5,0.590258987818078
"466","Summer",1.5,0.5,0.488877799662006
"467","Fall",1.5,0.5,0.698666349668097
"468","Winter",1.5,0.5,0.409146240391593
"469","Spring",-1.5,0.75,0.488147549145599
"470","Summer",-1.5,0.75,0.297814313655809
"471","Fall",-1.5,0.75,0.348893219546963
"472","Winter",-1.5,0.75,0.333118768202561
"473","Spring",-1.25,0.75,0.502788671416662
"474","Summer",-1.25,0.75,0.313629113695542
"475","Fall",-1.25,0.75,0.372372875705854
"476","Winter",-1.25,0.75,0.370375043414584
"477","Spring",-1,0.75,0.515668616878301
"478","Summer",-1,0.75,0.325089992165784
"479","Fall",-1,0.75,0.394762263725705
"480","Winter",-1,0.75,0.411797291813098
"481","Spring",-0.75,0.75,0.525583997139209
"482","Summer",-0.75,0.75,0.329221253013843
"483","Fall",-0.75,0.75,0.418416498446977
"484","Winter",-0.75,0.75,0.457448954960798
"485","Spring",-0.5,0.75,0.53179602502407
"486","Summer",-0.5,0.75,0.325808091059507
"487","Fall",-0.5,0.75,0.445451580682553
"488","Winter",-0.5,0.75,0.506921342412862
"489","Spring",-0.25,0.75,0.535331218151106
"490","Summer",-0.25,0.75,0.317551499565647
"491","Fall",-0.25,0.75,0.472565567770121
"492","Winter",-0.25,0.75,0.558679636711915
"493","Spring",0,0.75,0.538219233872
"494","Summer",0,0.75,0.30857521467488
"495","Fall",0,0.75,0.497480726153586
"496","Winter",0,0.75,0.608753259723873
"497","Spring",0.25,0.75,0.541629060822789
"498","Summer",0.25,0.75,0.302157509708423
"499","Fall",0.25,0.75,0.521064058672547
"500","Winter",0.25,0.75,0.648732551410839
"501","Spring",0.5,0.75,0.545992118892038
"502","Summer",0.5,0.75,0.299324016502271
"503","Fall",0.5,0.75,0.544178462161271
"504","Winter",0.5,0.75,0.664644858146113
"505","Spring",0.75,0.75,0.551070799129795
"506","Summer",0.75,0.75,0.299214494475826
"507","Fall",0.75,0.75,0.567117578556049
"508","Winter",0.75,0.75,0.641600224941716
"509","Spring",1,0.75,0.556117116098822
"510","Summer",1,0.75,0.300381099651762
"511","Fall",1,0.75,0.590029269900907
"512","Winter",1,0.75,0.576256274937777
"513","Spring",1.25,0.75,0.560255924302624
"514","Summer",1.25,0.75,0.301704592976749
"515","Fall",1.25,0.75,0.613044454210888
"516","Winter",1.25,0.75,0.484162679188293
"517","Spring",1.5,0.75,0.562737733812529
"518","Summer",1.5,0.75,0.302585113805053
"519","Fall",1.5,0.75,0.636286118846741
"520","Winter",1.5,0.75,0.388338538687387
"521","Spring",-1.5,1,0.477858533018317
"522","Summer",-1.5,1,0.286816894507981
"523","Fall",-1.5,1,0.325135379252168
"524","Winter",-1.5,1,0.273690563181073
"525","Spring",-1.25,1,0.49217168885107
"526","Summer",-1.25,1,0.289304657592126
"527","Fall",-1.25,1,0.346164581468944
"528","Winter",-1.25,1,0.313299295138063
"529","Spring",-1,1,0.504387503402981
"530","Summer",-1,1,0.291319794305836
"531","Fall",-1,1,0.367130866290345
"532","Winter",-1,1,0.358628035600834
"533","Spring",-0.75,1,0.513088024588691
"534","Summer",-0.75,1,0.288456846087205
"535","Fall",-0.75,1,0.390945506811089
"536","Winter",-0.75,1,0.410514755811565
"537","Spring",-0.5,1,0.517541601596827
"538","Summer",-0.5,1,0.278252438548842
"539","Fall",-0.5,1,0.416708337959653
"540","Winter",-0.5,1,0.469537155557841
"541","Spring",-0.25,1,0.519086551017345
"542","Summer",-0.25,1,0.261711518366591
"543","Fall",-0.25,1,0.440516376738621
"544","Winter",-0.25,1,0.535228872068585
"545","Spring",0,1,0.520162960276957
"546","Summer",0,1,0.24262496421237
"547","Fall",0,1,0.46212549875083
"548","Winter",0,1,0.604345135713973
"549","Spring",0.25,1,0.522138467695194
"550","Summer",0.25,1,0.225191664933548
"551","Fall",0.25,1,0.482509965013582
"552","Winter",0.25,1,0.66704843276719
"553","Spring",0.5,1,0.525462486277953
"554","Summer",0.5,1,0.211672303264635
"555","Fall",0.5,1,0.502066633716001
"556","Winter",0.5,1,0.702227104536621
"557","Spring",0.75,1,0.529643251046476
"558","Summer",0.75,1,0.201868595646035
"559","Fall",0.75,1,0.520984194549006
"560","Winter",0.75,1,0.682080159380434
"561","Spring",1,1,0.533608348584488
"562","Summer",1,1,0.194373932941709
"563","Fall",1,1,0.539432093130751
"564","Winter",1,1,0.598229085964676
"565","Spring",1.25,1,0.536268107800673
"566","Summer",1.25,1,0.187912199588794
"567","Fall",1.25,1,0.557571545928484
"568","Winter",1.25,1,0.479678952271451
"569","Spring",1.5,1,0.536789639115811
"570","Summer",1.5,1,0.181784859511425
"571","Fall",1.5,1,0.575549745867856
"572","Winter",1.5,1,0.364090561054187
"573","Spring",-1.5,1.25,0.466613636561593
"574","Summer",-1.5,1.25,0.282935299165452
"575","Fall",-1.5,1.25,0.302391836644477
"576","Winter",-1.5,1.25,0.229032377285925
"577","Spring",-1.25,1.25,0.480898168015752
"578","Summer",-1.25,1.25,0.267430151882405
"579","Fall",-1.25,1.25,0.319996272912967
"580","Winter",-1.25,1.25,0.267069995291064
"581","Spring",-1,1.25,0.492659134906553
"582","Summer",-1,1.25,0.256344461440377
"583","Fall",-1,1.25,0.33951793643558
"584","Winter",-1,1.25,0.313041743886488
"585","Spring",-0.75,1.25,0.500323009175393
"586","Summer",-0.75,1.25,0.245726722830262
"587","Fall",-0.75,1.25,0.362809855244776
"588","Winter",-0.75,1.25,0.368340521686413
"589","Spring",-0.5,1.25,0.503208876947298
"590","Summer",-0.5,1.25,0.231362904521859
"591","Fall",-0.5,1.25,0.386082102750684
"592","Winter",-0.5,1.25,0.43389182617339
"593","Spring",-0.25,1.25,0.502982892613269
"594","Summer",-0.25,1.25,0.21173041575285
"595","Fall",-0.25,1.25,0.407055651798658
"596","Winter",-0.25,1.25,0.510538334266222
"597","Spring",0,1.25,0.502484712254467
"598","Summer",0,1.25,0.188894252154728
"599","Fall",0,1.25,0.426187997834851
"600","Winter",0,1.25,0.596751880180624
"601","Spring",0.25,1.25,0.50327705977723
"602","Summer",0.25,1.25,0.166819372834946
"603","Fall",0.25,1.25,0.443811271852439
"604","Winter",0.25,1.25,0.682887783835441
"605","Spring",0.5,1.25,0.505793239710921
