,Season,StandardizedFlow,StandardizedTemperature,Lambda,meanFlow,sdFlow,meanTemp,sdTemp,Flow,Temp
18,Summer,-0.5,-1.5,0.899852684,0.052218074,0.045882283,16.02298656,0.660846285,0.029276932,15.03171714
19,Fall,-0.5,-1.5,0.670377501,0.15686571,0.118468631,7.687613231,1.953109223,0.097631394,4.757949396
20,Winter,-0.5,-1.5,0.517069376,0.201612372,0.043500877,1.723267351,0.454017406,0.179861934,1.042241243
21,Spring,-0.25,-1.5,0.68875736,0.164927627,0.080264126,10.58272442,1.324704802,0.144861596,8.59566722
22,Summer,-0.25,-1.5,1.112891062,0.052218074,0.045882283,16.02298656,0.660846285,0.040747503,15.03171714
23,Fall,-0.25,-1.5,0.738619536,0.15686571,0.118468631,7.687613231,1.953109223,0.127248552,4.757949396
24,Winter,-0.25,-1.5,0.48971195,0.201612372,0.043500877,1.723267351,0.454017406,0.190737153,1.042241243
25,Spring,0,-1.5,0.714207465,0.164927627,0.080264126,10.58272442,1.324704802,0.164927627,8.59566722
26,Summer,0,-1.5,1.368056305,0.052218074,0.045882283,16.02298656,0.660846285,0.052218074,15.03171714
27,Fall,0,-1.5,0.812123324,0.15686571,0.118468631,7.687613231,1.953109223,0.15686571,4.757949396
28,Winter,0,-1.5,0.449321895,0.201612372,0.043500877,1.723267351,0.454017406,0.201612372,1.042241243
29,Spring,0.25,-1.5,0.739169651,0.164927627,0.080264126,10.58272442,1.324704802,0.184993659,8.59566722
30,Summer,0.25,-1.5,1.668705195,0.052218074,0.045882283,16.02298656,0.660846285,0.063688644,15.03171714
31,Fall,0.25,-1.5,0.891083928,0.15686571,0.118468631,7.687613231,1.953109223,0.186482868,4.757949396
32,Winter,0.25,-1.5,0.400322237,0.201612372,0.043500877,1.723267351,0.454017406,0.212487591,1.042241243
33,Spring,0.5,-1.5,0.763611898,0.164927627,0.080264126,10.58272442,1.324704802,0.20505969,8.59566722
34,Summer,0.5,-1.5,2.012423726,0.052218074,0.045882283,16.02298656,0.660846285,0.075159215,15.03171714
35,Fall,0.5,-1.5,0.97545128,0.15686571,0.118468631,7.687613231,1.953109223,0.216100025,4.757949396
36,Winter,0.5,-1.5,0.352524606,0.201612372,0.043500877,1.723267351,0.454017406,0.223362811,1.042241243
37,Spring,0.75,-1.5,0.787467687,0.164927627,0.080264126,10.58272442,1.324704802,0.225125722,8.59566722
38,Summer,0.75,-1.5,2.389991633,0.052218074,0.045882283,16.02298656,0.660846285,0.086629786,15.03171714
39,Fall,0.75,-1.5,1.06488887,0.15686571,0.118468631,7.687613231,1.953109223,0.245717183,4.757949396
40,Winter,0.75,-1.5,0.313471803,0.201612372,0.043500877,1.723267351,0.454017406,0.23423803,1.042241243
41,Spring,1,-1.5,0.810607795,0.164927627,0.080264126,10.58272442,1.324704802,0.245191753,8.59566722
42,Summer,1,-1.5,2.78310606,0.052218074,0.045882283,16.02298656,0.660846285,0.098100356,15.03171714
43,Fall,1,-1.5,1.158681316,0.15686571,0.118468631,7.687613231,1.953109223,0.275334341,4.757949396
44,Winter,1,-1.5,0.283101412,0.201612372,0.043500877,1.723267351,0.454017406,0.245113249,1.042241243
45,Spring,1.25,-1.5,0.832776005,0.164927627,0.080264126,10.58272442,1.324704802,0.265257785,8.59566722
46,Summer,1.25,-1.5,3.166012521,0.052218074,0.045882283,16.02298656,0.660846285,0.109570927,15.03171714
47,Fall,1.25,-1.5,1.255596663,0.15686571,0.118468631,7.687613231,1.953109223,0.304951499,4.757949396
48,Winter,1.25,-1.5,0.256679775,0.201612372,0.043500877,1.723267351,0.454017406,0.255988468,1.042241243
49,Spring,1.5,-1.5,0.853431155,0.164927627,0.080264126,10.58272442,1.324704802,0.285323816,8.59566722
50,Summer,1.5,-1.5,3.51205391,0.052218074,0.045882283,16.02298656,0.660846285,0.121041498,15.03171714
51,Fall,1.5,-1.5,1.353749783,0.15686571,0.118468631,7.687613231,1.953109223,0.334568656,4.757949396
52,Winter,1.5,-1.5,0.230431004,0.201612372,0.043500877,1.723267351,0.454017406,0.266863687,1.042241243
53,Spring,-1.5,-1.25,0.553431697,0.164927627,0.080264126,10.58272442,1.324704802,0.044531438,8.926843421
54,Summer,-1.5,-1.25,0.353186543,0.052218074,0.045882283,16.02298656,0.660846285,-0.01660535,15.19692871
55,Fall,-1.5,-1.25,0.442058174,0.15686571,0.118468631,7.687613231,1.953109223,-0.020837236,5.246226702
56,Winter,-1.5,-1.25,0.646216396,0.201612372,0.043500877,1.723267351,0.454017406,0.136361057,1.155745594
57,Spring,-1.25,-1.25,0.576644946,0.164927627,0.080264126,10.58272442,1.324704802,0.06459747,8.926843421
58,Summer,-1.25,-1.25,0.438877928,0.052218074,0.045882283,16.02298656,0.660846285,-0.005134779,15.19692871
59,Fall,-1.25,-1.25,0.485991424,0.15686571,0.118468631,7.687613231,1.953109223,0.008779921,5.246226702
60,Winter,-1.25,-1.25,0.632852974,0.201612372,0.043500877,1.723267351,0.454017406,0.147236276,1.155745594
61,Spring,-1,-1.25,0.600195145,0.164927627,0.080264126,10.58272442,1.324704802,0.084663501,8.926843421
62,Summer,-1,-1.25,0.546658633,0.052218074,0.045882283,16.02298656,0.660846285,0.006335791,15.19692871
63,Fall,-1,-1.25,0.534050781,0.15686571,0.118468631,7.687613231,1.953109223,0.038397079,5.246226702
64,Winter,-1,-1.25,0.614252595,0.201612372,0.043500877,1.723267351,0.454017406,0.158111495,1.155745594
65,Spring,-0.75,-1.25,0.623939552,0.164927627,0.080264126,10.58272442,1.324704802,0.104729533,8.926843421
66,Summer,-0.75,-1.25,0.677675499,0.052218074,0.045882283,16.02298656,0.660846285,0.017806362,15.19692871
67,Fall,-0.75,-1.25,0.58643519,0.15686571,0.118468631,7.687613231,1.953109223,0.068014237,5.246226702
68,Winter,-0.75,-1.25,0.590108906,0.201612372,0.043500877,1.723267351,0.454017406,0.168986715,1.155745594
69,Spring,-0.5,-1.25,0.647693029,0.164927627,0.080264126,10.58272442,1.324704802,0.124795564,8.926843421
70,Summer,-0.5,-1.25,0.833282484,0.052218074,0.045882283,16.02298656,0.660846285,0.029276932,15.19692871
71,Fall,-0.5,-1.25,0.643235599,0.15686571,0.118468631,7.687613231,1.953109223,0.097631394,5.246226702
72,Winter,-0.5,-1.25,0.559670574,0.201612372,0.043500877,1.723267351,0.454017406,0.179861934,1.155745594
73,Spring,-0.25,-1.25,0.671266471,0.164927627,0.080264126,10.58272442,1.324704802,0.144861596,8.926843421
74,Summer,-0.25,-1.25,1.017365792,0.052218074,0.045882283,16.02298656,0.660846285,0.040747503,15.19692871
75,Fall,-0.25,-1.25,0.704514939,0.15686571,0.118468631,7.687613231,1.953109223,0.127248552,5.246226702
76,Winter,-0.25,-1.25,0.522096365,0.201612372,0.043500877,1.723267351,0.454017406,0.190737153,1.155745594
77,Spring,0,-1.25,0.694522521,0.164927627,0.080264126,10.58272442,1.324704802,0.164927627,8.926843421
78,Summer,0,-1.25,1.234727074,0.052218074,0.045882283,16.02298656,0.660846285,0.052218074,15.19692871
79,Fall,0,-1.25,0.770313899,0.15686571,0.118468631,7.687613231,1.953109223,0.15686571,5.246226702
80,Winter,0,-1.25,0.477619366,0.201612372,0.043500877,1.723267351,0.454017406,0.201612372,1.155745594
81,Spring,0.25,-1.25,0.717404497,0.164927627,0.080264126,10.58272442,1.324704802,0.184993659,8.926843421
82,Summer,0.25,-1.25,1.487745467,0.052218074,0.045882283,16.02298656,0.660846285,0.063688644,15.19692871
83,Fall,0.25,-1.25,0.840605841,0.15686571,0.118468631,7.687613231,1.953109223,0.186482868,5.246226702
84,Winter,0.25,-1.25,0.428855,0.201612372,0.043500877,1.723267351,0.454017406,0.212487591,1.155745594
85,Spring,0.5,-1.25,0.739899549,0.164927627,0.080264126,10.58272442,1.324704802,0.20505969,8.926843421
86,Summer,0.5,-1.25,1.776602356,0.052218074,0.045882283,16.02298656,0.660846285,0.075159215,15.19692871
87,Fall,0.5,-1.25,0.915296522,0.15686571,0.118468631,7.687613231,1.953109223,0.216100025,5.246226702
88,Winter,0.5,-1.25,0.380582876,0.201612372,0.043500877,1.723267351,0.454017406,0.223362811,1.155745594
89,Spring,0.75,-1.25,0.76199894,0.164927627,0.080264126,10.58272442,1.324704802,0.225125722,8.926843421
90,Summer,0.75,-1.25,2.098463989,0.052218074,0.045882283,16.02298656,0.660846285,0.086629786,15.19692871
91,Fall,0.75,-1.25,0.99422893,0.15686571,0.118468631,7.687613231,1.953109223,0.245717183,5.246226702
92,Winter,0.75,-1.25,0.337696169,0.201612372,0.043500877,1.723267351,0.454017406,0.23423803,1.155745594
93,Spring,1,-1.25,0.783691675,0.164927627,0.080264126,10.58272442,1.324704802,0.245191753,8.926843421
94,Summer,1,-1.25,2.445353588,0.052218074,0.045882283,16.02298656,0.660846285,0.098100356,15.19692871
95,Fall,1,-1.25,1.077109126,0.15686571,0.118468631,7.687613231,1.953109223,0.275334341,5.246226702
96,Winter,1,-1.25,0.302895982,0.201612372,0.043500877,1.723267351,0.454017406,0.245113249,1.155745594
97,Spring,1.25,-1.25,0.804927973,0.164927627,0.080264126,10.58272442,1.324704802,0.265257785,8.926843421
98,Summer,1.25,-1.25,2.803288769,0.052218074,0.045882283,16.02298656,0.660846285,0.109570927,15.19692871
99,Fall,1.25,-1.25,1.163399269,0.15686571,0.118468631,7.687613231,1.953109223,0.304951499,5.246226702
100,Winter,1.25,-1.25,0.275544917,0.201612372,0.043500877,1.723267351,0.454017406,0.255988468,1.155745594
101,Spring,1.5,-1.25,0.825550644,0.164927627,0.080264126,10.58272442,1.324704802,0.285323816,8.926843421
102,Summer,1.5,-1.25,3.153753831,0.052218074,0.045882283,16.02298656,0.660846285,0.121041498,15.19692871
103,Fall,1.5,-1.25,1.252213478,0.15686571,0.118468631,7.687613231,1.953109223,0.334568656,5.246226702
104,Winter,1.5,-1.25,0.252674769,0.201612372,0.043500877,1.723267351,0.454017406,0.266863687,1.155745594
105,Spring,-1.5,-1,0.546590978,0.164927627,0.080264126,10.58272442,1.324704802,0.044531438,9.258019621
106,Summer,-1.5,-1,0.347509,0.052218074,0.045882283,16.02298656,0.660846285,-0.01660535,15.36214028
107,Fall,-1.5,-1,0.439251484,0.15686571,0.118468631,7.687613231,1.953109223,-0.020837236,5.734504008
108,Winter,-1.5,-1,0.763439503,0.201612372,0.043500877,1.723267351,0.454017406,0.136361057,1.269249946
109,Spring,-1.25,-1,0.568086678,0.164927627,0.080264126,10.58272442,1.324704802,0.06459747,9.258019621
110,Summer,-1.25,-1,0.423680574,0.052218074,0.045882283,16.02298656,0.660846285,-0.005134779,15.36214028
111,Fall,-1.25,-1,0.478654194,0.15686571,0.118468631,7.687613231,1.953109223,0.008779921,5.734504008
112,Winter,-1.25,-1,0.724265253,0.201612372,0.043500877,1.723267351,0.454017406,0.147236276,1.269249946
113,Spring,-1,-1,0.589705276,0.164927627,0.080264126,10.58272442,1.324704802,0.084663501,9.258019621
114,Summer,-1,-1,0.517421995,0.052218074,0.045882283,16.02298656,0.660846285,0.006335791,15.36214028
115,Fall,-1,-1,0.521134858,0.15686571,0.118468631,7.687613231,1.953109223,0.038397079,5.734504008
116,Winter,-1,-1,0.683518842,0.201612372,0.043500877,1.723267351,0.454017406,0.158111495,1.269249946
117,Spring,-0.75,-1,0.611307485,0.164927627,0.080264126,10.58272442,1.324704802,0.104729533,9.258019621
118,Summer,-0.75,-1,0.630115415,0.052218074,0.045882283,16.02298656,0.660846285,0.017806362,15.36214028
119,Fall,-0.75,-1,0.567235778,0.15686571,0.118468631,7.687613231,1.953109223,0.068014237,5.734504008
120,Winter,-0.75,-1,0.641312569,0.201612372,0.043500877,1.723267351,0.454017406,0.168986715,1.269249946
121,Spring,-0.5,-1,0.632743281,0.164927627,0.080264126,10.58272442,1.324704802,0.124795564,9.258019621
122,Summer,-0.5,-1,0.76352062,0.052218074,0.045882283,16.02298656,0.660846285,0.029276932,15.36214028
123,Fall,-0.5,-1,0.617444055,0.15686571,0.118468631,7.687613231,1.953109223,0.097631394,5.734504008
124,Winter,-0.5,-1,0.597665212,0.201612372,0.043500877,1.723267351,0.454017406,0.179861934,1.269249946
125,Spring,-0.25,-1,0.653883681,0.164927627,0.080264126,10.58272442,1.324704802,0.144861596,9.258019621
126,Summer,-0.25,-1,0.920182116,0.052218074,0.045882283,16.02298656,0.660846285,0.040747503,15.36214028
127,Fall,-0.25,-1,0.671981951,0.15686571,0.118468631,7.687613231,1.953109223,0.127248552,5.734504008
128,Winter,-0.25,-1,0.552591857,0.201612372,0.043500877,1.723267351,0.454017406,0.190737153,1.269249946
129,Spring,0,-1,0.674657862,0.164927627,0.080264126,10.58272442,1.324704802,0.164927627,9.258019621
130,Summer,0,-1,1.102463274,0.052218074,0.045882283,16.02298656,0.660846285,0.052218074,15.36214028
131,Fall,0,-1,0.730687641,0.15686571,0.118468631,7.687613231,1.953109223,0.15686571,5.734504008
132,Winter,0,-1,0.506329432,0.201612372,0.043500877,1.723267351,0.454017406,0.201612372,1.269249946
133,Spring,0.25,-1,0.695071029,0.164927627,0.080264126,10.58272442,1.324704802,0.184993659,9.258019621
134,Summer,0.25,-1,1.311607194,0.052218074,0.045882283,16.02298656,0.660846285,0.063688644,15.36214028
135,Fall,0.25,-1,0.793179276,0.15686571,0.118468631,7.687613231,1.953109223,0.186482868,5.734504008
136,Winter,0.25,-1,0.459633205,0.201612372,0.043500877,1.723267351,0.454017406,0.212487591,1.269249946
137,Spring,0.5,-1,0.715178428,0.164927627,0.080264126,10.58272442,1.324704802,0.20505969,9.258019621
138,Summer,0.5,-1,1.548538546,0.052218074,0.045882283,16.02298656,0.660846285,0.075159215,15.36214028
139,Fall,0.5,-1,0.859141413,0.15686571,0.118468631,7.687613231,1.953109223,0.216100025,5.734504008
140,Winter,0.5,-1,0.413924728,0.201612372,0.043500877,1.723267351,0.454017406,0.223362811,1.269249946
141,Spring,0.75,-1,0.73505196,0.164927627,0.080264126,10.58272442,1.324704802,0.225125722,9.258019621
142,Summer,0.75,-1,1.813297723,0.052218074,0.045882283,16.02298656,0.660846285,0.086629786,15.36214028
143,Fall,0.75,-1,0.928454865,0.15686571,0.118468631,7.687613231,1.953109223,0.245717183,5.734504008
144,Winter,0.75,-1,0.371148946,0.201612372,0.043500877,1.723267351,0.454017406,0.23423803,1.269249946
145,Spring,1,-1,0.754720477,0.164927627,0.080264126,10.58272442,1.324704802,0.245191753,9.258019621
146,Summer,1,-1,2.10367138,0.052218074,0.045882283,16.02298656,0.660846285,0.098100356,15.36214028
147,Fall,1,-1,1.001103471,0.15686571,0.118468631,7.687613231,1.953109223,0.275334341,5.734504008
148,Winter,1,-1,0.333318948,0.201612372,0.043500877,1.723267351,0.454017406,0.245113249,1.269249946
149,Spring,1.25,-1,0.774153289,0.164927627,0.080264126,10.58272442,1.324704802,0.265257785,9.258019621
150,Summer,1.25,-1,2.414131151,0.052218074,0.045882283,16.02298656,0.660846285,0.109570927,15.36214028
151,Fall,1.25,-1,1.077007341,0.15686571,0.118468631,7.687613231,1.953109223,0.304951499,5.734504008
152,Winter,1.25,-1,0.301776106,0.201612372,0.043500877,1.723267351,0.454017406,0.255988468,1.269249946
153,Spring,1.5,-1,0.793278273,0.164927627,0.080264126,10.58272442,1.324704802,0.285323816,9.258019621
154,Summer,1.5,-1,2.735465179,0.052218074,0.045882283,16.02298656,0.660846285,0.121041498,15.36214028
155,Fall,1.5,-1,1.155893672,0.15686571,0.118468631,7.687613231,1.953109223,0.334568656,5.734504008
156,Winter,1.5,-1,0.276500267,0.201612372,0.043500877,1.723267351,0.454017406,0.266863687,1.269249946
157,Spring,-1.5,-0.75,0.539599222,0.164927627,0.080264126,10.58272442,1.324704802,0.044531438,9.589195822
158,Summer,-1.5,-0.75,0.340421485,0.052218074,0.045882283,16.02298656,0.660846285,-0.01660535,15.52735185
159,Fall,-1.5,-0.75,0.434841681,0.15686571,0.118468631,7.687613231,1.953109223,-0.020837236,6.222781313
160,Winter,-1.5,-0.75,0.830913201,0.201612372,0.043500877,1.723267351,0.454017406,0.136361057,1.382754297
161,Spring,-1.25,-0.75,0.559499892,0.164927627,0.080264126,10.58272442,1.324704802,0.06459747,9.589195822
162,Summer,-1.25,-0.75,0.406262509,0.052218074,0.045882283,16.02298656,0.660846285,-0.005134779,15.52735185
163,Fall,-1.25,-0.75,0.470809986,0.15686571,0.118468631,7.687613231,1.953109223,0.008779921,6.222781313
164,Winter,-1.25,-0.75,0.775839504,0.201612372,0.043500877,1.723267351,0.454017406,0.147236276,1.382754297
165,Spring,-1,-0.75,0.579318092,0.164927627,0.080264126,10.58272442,1.324704802,0.084663501,9.589195822
166,Summer,-1,-0.75,0.485531904,0.052218074,0.045882283,16.02298656,0.660846285,0.006335791,15.52735185
167,Fall,-1,-0.75,0.508622861,0.15686571,0.118468631,7.687613231,1.953109223,0.038397079,6.222781313
168,Winter,-1,-0.75,0.723067922,0.201612372,0.043500877,1.723267351,0.454017406,0.158111495,1.382754297
169,Spring,-0.75,-0.75,0.598876945,0.164927627,0.080264126,10.58272442,1.324704802,0.104729533,9.589195822
170,Summer,-0.75,-0.75,0.5800766,0.052218074,0.045882283,16.02298656,0.660846285,0.017806362,15.52735185
171,Fall,-0.75,-0.75,0.549002975,0.15686571,0.118468631,7.687613231,1.953109223,0.068014237,6.222781313
172,Winter,-0.75,-0.75,0.67261038,0.201612372,0.043500877,1.723267351,0.454017406,0.168986715,1.382754297
173,Spring,-0.5,-0.75,0.618000978,0.164927627,0.080264126,10.58272442,1.324704802,0.124795564,9.589195822
174,Summer,-0.5,-0.75,0.69171363,0.052218074,0.045882283,16.02298656,0.660846285,0.029276932,15.52735185
175,Fall,-0.5,-0.75,0.593008043,0.15686571,0.118468631,7.687613231,1.953109223,0.097631394,6.222781313
176,Winter,-0.5,-0.75,0.624385298,0.201612372,0.043500877,1.723267351,0.454017406,0.179861934,1.382754297
177,Spring,-0.25,-0.75,0.636582922,0.164927627,0.080264126,10.58272442,1.324704802,0.144861596,9.589195822
178,Summer,-0.25,-0.75,0.821833236,0.052218074,0.045882283,16.02298656,0.660846285,0.040747503,15.52735185
179,Fall,-0.25,-0.75,0.641300016,0.15686571,0.118468631,7.687613231,1.953109223,0.127248552,6.222781313
180,Winter,-0.25,-0.75,0.578207816,0.201612372,0.043500877,1.723267351,0.454017406,0.190737153,1.382754297
181,Spring,0,-0.75,0.654641876,0.164927627,0.080264126,10.58272442,1.324704802,0.164927627,9.589195822
182,Summer,0,-0.75,0.971182824,0.052218074,0.045882283,16.02298656,0.660846285,0.052218074,15.52735185
183,Fall,0,-0.75,0.693605274,0.15686571,0.118468631,7.687613231,1.953109223,0.15686571,6.222781313
184,Winter,0,-0.75,0.533824389,0.201612372,0.043500877,1.723267351,0.454017406,0.201612372,1.382754297
185,Spring,0.25,-0.75,0.6723247,0.164927627,0.080264126,10.58272442,1.324704802,0.184993659,9.589195822
186,Summer,0.25,-0.75,1.140096276,0.052218074,0.045882283,16.02298656,0.660846285,0.063688644,15.52735185
187,Fall,0.25,-0.75,0.749082413,0.15686571,0.118468631,7.687613231,1.953109223,0.186482868,6.222781313
188,Winter,0.25,-0.75,0.491043951,0.201612372,0.043500877,1.723267351,0.454017406,0.212487591,1.382754297
189,Spring,0.5,-0.75,0.689803968,0.164927627,0.080264126,10.58272442,1.324704802,0.20505969,9.589195822
190,Summer,0.5,-0.75,1.329284092,0.052218074,0.045882283,16.02298656,0.660846285,0.075159215,15.52735185
191,Fall,0.5,-0.75,0.807087284,0.15686571,0.118468631,7.687613231,1.953109223,0.216100025,6.222781313
192,Winter,0.5,-0.75,0.449904298,0.201612372,0.043500877,1.723267351,0.454017406,0.223362811,1.382754297
193,Spring,0.75,-0.75,0.70716243,0.164927627,0.080264126,10.58272442,1.324704802,0.225125722,9.589195822
194,Summer,0.75,-0.75,1.539514895,0.052218074,0.045882283,16.02298656,0.660846285,0.086629786,15.52735185
195,Fall,0.75,-0.75,0.867517339,0.15686571,0.118468631,7.687613231,1.953109223,0.245717183,6.222781313
196,Winter,0.75,-0.75,0.410743272,0.201612372,0.043500877,1.723267351,0.454017406,0.23423803,1.382754297
197,Spring,1,-0.75,0.724398332,0.164927627,0.080264126,10.58272442,1.324704802,0.245191753,9.589195822
198,Summer,1,-0.75,1.770907911,0.052218074,0.045882283,16.02298656,0.660846285,0.098100356,15.52735185
199,Fall,1,-0.75,0.930613437,0.15686571,0.118468631,7.687613231,1.953109223,0.275334341,6.222781313
200,Winter,1,-0.75,0.37417274,0.201612372,0.043500877,1.723267351,0.454017406,0.245113249,1.382754297
201,Spring,1.25,-0.75,0.741472406,0.164927627,0.080264126,10.58272442,1.324704802,0.265257785,9.589195822
202,Summer,1.25,-0.75,2.02228438,0.052218074,0.045882283,16.02298656,0.660846285,0.109570927,15.52735185
203,Fall,1.25,-0.75,0.996623466,0.15686571,0.118468631,7.687613231,1.953109223,0.304951499,6.222781313
204,Winter,1.25,-0.75,0.340978477,0.201612372,0.043500877,1.723267351,0.454017406,0.255988468,1.382754297
205,Spring,1.5,-0.75,0.758322468,0.164927627,0.080264126,10.58272442,1.324704802,0.285323816,9.589195822
206,Summer,1.5,-0.75,2.290657745,0.052218074,0.045882283,16.02298656,0.660846285,0.121041498,15.52735185
207,Fall,1.5,-0.75,1.065613585,0.15686571,0.118468631,7.687613231,1.953109223,0.334568656,6.222781313
208,Winter,1.5,-0.75,0.31188732,0.201612372,0.043500877,1.723267351,0.454017406,0.266863687,1.382754297
209,Spring,-1.5,-0.5,0.532270923,0.164927627,0.080264126,10.58272442,1.324704802,0.044531438,9.920372022
210,Summer,-1.5,-0.5,0.333322558,0.052218074,0.045882283,16.02298656,0.660846285,-0.01660535,15.69256342
211,Fall,-1.5,-0.5,0.427972766,0.15686571,0.118468631,7.687613231,1.953109223,-0.020837236,6.711058619
212,Winter,-1.5,-0.5,0.808867242,0.201612372,0.043500877,1.723267351,0.454017406,0.136361057,1.496258648
213,Spring,-1.25,-0.5,0.550765787,0.164927627,0.080264126,10.58272442,1.324704802,0.06459747,9.920372022
214,Summer,-1.25,-0.5,0.388556163,0.052218074,0.045882283,16.02298656,0.660846285,-0.005134779,15.69256342
215,Fall,-1.25,-0.5,0.461178262,0.15686571,0.118468631,7.687613231,1.953109223,0.008779921,6.711058619
216,Winter,-1.25,-0.5,0.763070202,0.201612372,0.043500877,1.723267351,0.454017406,0.147236276,1.496258648
217,Spring,-1,-0.5,0.568959955,0.164927627,0.080264126,10.58272442,1.324704802,0.084663501,9.920372022
218,Summer,-1,-0.5,0.453465164,0.052218074,0.045882283,16.02298656,0.660846285,0.006335791,15.69256342
219,Fall,-1,-0.5,0.495222278,0.15686571,0.118468631,7.687613231,1.953109223,0.038397079,6.711058619
220,Winter,-1,-0.5,0.719030388,0.201612372,0.043500877,1.723267351,0.454017406,0.158111495,1.496258648
221,Spring,-0.75,-0.5,0.586595394,0.164927627,0.080264126,10.58272442,1.324704802,0.104729533,9.920372022
222,Summer,-0.75,-0.5,0.530020766,0.052218074,0.045882283,16.02298656,0.660846285,0.017806362,15.69256342
223,Fall,-0.75,-0.5,0.530748889,0.15686571,0.118468631,7.687613231,1.953109223,0.068014237,6.711058619
224,Winter,-0.75,-0.5,0.676670345,0.201612372,0.043500877,1.723267351,0.454017406,0.168986715,1.496258648
225,Spring,-0.5,-0.5,0.603422958,0.164927627,0.080264126,10.58272442,1.324704802,0.124795564,9.920372022
226,Summer,-0.5,-0.5,0.619779168,0.052218074,0.045882283,16.02298656,0.660846285,0.029276932,15.69256342
227,Fall,-0.5,-0.5,0.569351848,0.15686571,0.118468631,7.687613231,1.953109223,0.097631394,6.711058619
228,Winter,-0.5,-0.5,0.635888575,0.201612372,0.043500877,1.723267351,0.454017406,0.179861934,1.496258648
229,Spring,-0.25,-0.5,0.6193531,0.164927627,0.080264126,10.58272442,1.324704802,0.144861596,9.920372022
230,Summer,-0.25,-0.5,0.723579411,0.052218074,0.045882283,16.02298656,0.660846285,0.040747503,15.69256342
231,Fall,-0.25,-0.5,0.612232755,0.15686571,0.118468631,7.687613231,1.953109223,0.127248552,6.711058619
232,Winter,-0.25,-0.5,0.596567583,0.201612372,0.043500877,1.723267351,0.454017406,0.190737153,1.496258648
233,Spring,0,-0.5,0.634572187,0.164927627,0.080264126,10.58272442,1.324704802,0.164927627,9.920372022
234,Summer,0,-0.5,0.841463234,0.052218074,0.045882283,16.02298656,0.660846285,0.052218074,15.69256342
235,Fall,0,-0.5,0.658953935,0.15686571,0.118468631,7.687613231,1.953109223,0.15686571,6.711058619
236,Winter,0,-0.5,0.558589336,0.201612372,0.043500877,1.723267351,0.454017406,0.201612372,1.496258648
237,Spring,0.25,-0.5,0.649429701,0.164927627,0.080264126,10.58272442,1.324704802,0.184993659,9.920372022
238,Summer,0.25,-0.5,0.973263009,0.052218074,0.045882283,16.02298656,0.660846285,0.063688644,15.69256342
239,Fall,0.25,-0.5,0.708090344,0.15686571,0.118468631,7.687613231,1.953109223,0.186482868,6.711058619
240,Winter,0.25,-0.5,0.521847342,0.201612372,0.043500877,1.723267351,0.454017406,0.212487591,1.496258648
241,Spring,0.5,-0.5,0.664140895,0.164927627,0.080264126,10.58272442,1.324704802,0.20505969,9.920372022
242,Summer,0.5,-0.5,1.11915438,0.052218074,0.045882283,16.02298656,0.660846285,0.075159215,15.69256342
243,Fall,0.5,-0.5,0.758719542,0.15686571,0.118468631,7.687613231,1.953109223,0.216100025,6.711058619
244,Winter,0.5,-0.5,0.486293262,0.201612372,0.043500877,1.723267351,0.454017406,0.223362811,1.496258648
